Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
Psychological cross-cultural understanding: A trial of a Japanese version of the Culture Assimilator.,"Sano, Hideki",Japanese Journal of Counseling Science,09148337,,19980201,31,1,34,9,1998-01623-005,,Japanese Assn of Counseling Science,Journal Article,Adjustment; Culture Change; International Students; Asians; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs),,"Studied the usefulness of the Culture Assimilator method in helping foreigners adjust to Japanese society. Human Ss: Eight normal mainland Chinese adults (mean age 33.3 yrs) (university students) (students in Japan for an average of 2.4 yrs) (had been studying Japanese language an average of 2 yrs). Eight normal Taiwanese adults (mean age 28.8 yrs) (university students) (students in Japan for an average of 2.7 yrs) (had been studying Japanese language an average of 1.9 yrs). Eight normal Japanese adults (mean age 24.7 yrs) (university students). Ss responded to 9 difficult social situations corresponding to 3 cultural factors by selecting options reflecting cultural differences. Differences among foreigners and between foreigners and Japanese Ss in communication-related factors and in group behavior were assessed. (English abstract) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1998-01623-005&site=ehost-live&scope=site
Psychological distress among British South Asians: The contribution of stressful situations and subcultural differences in the West of Scotland Twenty-07 Study.,"Williams, Rory; Hunt, Kate",Psychological Medicine,00332917,,19970901,27,5,1173,9,1997-30037-018,10.1017/S0033291797005473,Cambridge University Press,Journal Article,Cultural Test Bias; Culture Shock; Distress; General Health Questionnaire; Test Validity; Asians; Immigration; Self-Evaluation; Somatoform Disorders; South Asian Cultural Groups; Adulthood (18 yrs & older); Thirties (30-39 yrs),,"Investigates whether British South Asians living in Glasgow are subject to stressful situations to which the General Health Questionnaire (GHQ) is less sensitive than a psychosomatic measure and a measure of self-assessed distress. 159 South Asians aged 30–40 yrs, and 319 controls, all aged 35 yrs, were interviewed in Glasgow, using the 12-item GHQ (GHQ-12), a psychosomatic symptom scale (PSS) and a self-assessment of distress. Subcultural groupings were differentiated by South Asian origin, English fluency, religion, and gender. Stressful situations assessed were experience of assault, stress/dissatisfaction with work overcrowding, low standard of living, absence of family and absence of confidants. Results showed that the GHQ-12 was less sensitive to certain stressful situations than the other 2 measures. The PSS and/or self-assessed distress were more sensitive to low standard of living, self-rated stress in housework and experience of assault. In conclusion, the greater distress of women, Muslims and limited English speakers is largely explained by the stressful situations they experience. The GHQ-12 under-estimates distress related to situations experienced particularly by ethnic minorities and by women. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1997-30037-018&site=ehost-live&scope=site
Psychometric properties of the intergenerational congruence in immigrant families: Child Scale in Chinese Americans.,"Ying, Yu-Wen; Lee, Peter Allen; Tsai, Jeanne L.",Journal of Comparative Family Studies,00472328,,20041201,35,1,91,13,2003-10754-005,,University of Calgary/Dept of Sociology,Journal Article,Conflict; Family Relations; Immigration; Intergenerational Relations; Psychometrics; Asians; Test Reliability; Test Validity; Adulthood (18 yrs & older); Male; Female,,"Intergenerational conflict in immigrant families often occurs because of differential acculturation of immigrant parents and their children. This study presents the psychometric properties of a new instrument, the Intergenerational Congruence in Immigrant Families-Child Scale (ICIF-CS), which assesses intergenerational agreement from the perspective of the child. The ICIF-CS was tested in a sample of 238 Chinese American college students. As intended, the ICIF-CS is a unidimensional measure with high internal and test-retest reliability. Moreover, ICIF-CS was positively correlated with relationship satisfaction, orientation to Chinese culture, and parental attachment, demonstrating convergent, construct, and criterion validity, respectively. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2003-10754-005&site=ehost-live&scope=site
Psychophysiological Responses to Anger Provocation Among Asian Indian and White Men.,"Suchday, Sonia; Larkin, Kevin T.",International Journal of Behavioral Medicine,10705503,,20040101,11,2,71,10,2004-17911-002,10.1207/s15327558ijbm1102_2,Lawrence Erlbaum,Journal Article,Anger; Cross Cultural Differences; Social Behavior; Asians; Cardiovascular Reactivity; Emotional Responses; Whites; Adulthood (18 yrs & older); Male,,"To examine cultural differences in response to anger provocation, affective, cognitive, behavioral, and cardiovascular responses to social confrontation, role plays were measured in 20 Indian male immigrants in the United States and 40 White men. Participants engaged in 2 interactions with a nonacquiescent male confederate and were instructed to suppress or express their anger in counterbalanced order. Following each role play, participants state anger, and resentful and reflective cognitions pertaining to anger were assessed. Participants' videotaped behavioral responses were assessed for problem-solving skills and negative and positive verbal and nonverbal behaviors. Blood pressure and heart rate (HR) responses were recorded throughout the session. Results revealed that Indian participants used more introspective strategies comprising of repression and rational coping self-statements to anger provocation than their White counterparts. White participants experienced significantly higher HR responses and showed more awareness of physiological sensation compared to the Indian participants, but only when asked to exhibit their anger. Indian participants had a faster diastolic blood pressure (DBF) recovery when allowed to engage in anger inhibition (which is a culturally determined mode of functioning) compared to when they had to exhibit anger before inhibiting it. White men showed a heightened cardiac response to anger expression, something not seen among Indian men. Indian men, in contrast, exhibited delayed DBF recovery from anger expression and increased introspective cognitive strategies when asked to engage in anger exhibition, a behavior not congruent with their culture of origin. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-17911-002&site=ehost-live&scope=site
"Psychosocial, Cultural and Genetic Influences on Alcohol Use in Asian American Youth.","Hendershot, Christian S.; MacPherson, Laura; Myers, Mark G.; Carr, Lucinda G.; Wall, Tamara L.",Journal of Studies on Alcohol,0096882X,,20050301,66,2,185,11,2005-05372-004,10.15288/jsa.2005.66.185,Alcohol Research Documentation,Journal Article,Alcohol Dehydrogenases; Alcohol Drinking Patterns; Genetics; Psychosocial Factors; Sociocultural Factors; Asians; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female,,"Objective: Environmental and cultural factors, as well as a genetic variant of the aldehyde dehydrogenase gene (the ALDH22 allele) have been identified as correlates of alcohol use among Asian Americans. However, concurrent examination of these variables has been rare. The present study assessed parental alcohol use, acculturation and ALDH2 gene status in relation to lifetime, current and heavy episodic drinking among Chinese and Korean American undergraduates. Method: Participants (N = 428, 51% women; 52% Chinese American, age 18-19 years) were first-year college students in a longitudinal study of substance use initiation and progression. Data were collected via structured interview and self-report, and participants provided a blood sample for genotyping at the ALDH2 locus. Results: Gender, parental alcohol use and acculturation significantly predicted drinking behavior. However, none of the hypothesized moderating relationships were significant. In contrast with previous studies, ALDH2 gene status was not associated with alcohol use. Conclusions: Results indicate that although the variables examined influence alcohol use, moderating effects were not observed in the present sample of Asian American college students. Findings further suggest that the established association of ALDH2 status and drinking behavior in Asians may not be evident in late adolescence. It is possible that ALDH2 status is associated with alcohol consumption only following initiation and increased drinking experience. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-05372-004&site=ehost-live&scope=site
Public displays of affection among Asian and Latino heterosexual couples.,"Regan, Pamela C.; Jerry, Darell; Narvaez, Marysia; Johnson, Donelle",Psychological Reports,00332941,,19990601,84,"3, Pt 2",1201,2,1999-01451-023,10.2466/PR0.84.3.1201-1202,Psychological Reports,Journal Article,Affection; Racial and Ethnic Differences; Asians; Couples; Heterosexuality; Latinos/Latinas; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female,,"Used naturalistic observation to investigate whether public touching behavior differs as a function of the interactants' race or ethnicity. Heterosexual dyads (22 Asian, 22 Latino; mean age 24 yrs) were observed while walking through the campus of a large western university. Some support was found for the notion that interactants from 'contact' cultures, e.g., Latin America, are more contact-prone than those from 'noncontact' cultures, e.g., Asia. Specifically, Latino male–female dyads were more likely to embrace while walking in public than Asian male–female dyads. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1999-01451-023&site=ehost-live&scope=site
Public health strategies to address Asian men's health needs.,"Tong, Seng Fah; Low, Wah Yun",Asia-Pacific Journal of Public Health,10105395,,20120701,24,4,543,13,2012-23717-002,10.1177/1010539512452756,Sage Publications,Journal Article,Health Service Needs; Public Health; Reproductive Health; Asians; Human Males; Strategies; Male,,"Men’s health discourse has been around for more than 2 decades. The higher mortality rates and the shorter life expectancy in Asian men compared with their women counterparts show the disadvantaged status of men’s health. Thus, discussions on men’s health should address their health needs and not be confined to sex-specific male urology and reproductive health. In Asia, assessing men’s health needs is challenging because of the vast differences in the socioeconomic status and the diverse culture among its member countries. Although, the epidemiology of men’s health provides the focus for what to address in improving men’s health, having an optimal strategy requires the understanding of men’s health-seeking behaviors and the social determinants surrounding them. Thus, public health approaches addressing health behaviors and health promotion in the society should be one of the keys in improving men’s health status. Locally relevant information is needed to inform effective public health approaches. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-23717-002&site=ehost-live&scope=site
Quality of local government and democratic citizenship.,"Park, Chong-Min",Social Indicators Research,03038300,,20030401,62-63,3-Jan,291,29,2003-03109-007,10.1023/A:1022605519674,Springer,Journal Article,Citizenship; Democracy; Government; Political Attitudes; Public Opinion; Asians; Autonomy (Government); Empowerment; Urban Environments; Autonomy; Adulthood (18 yrs & older),,"This paper attempts to describe the quality of local government and democratic citizenship in Korea through an analysis of political and social attitudes as well as the behavior of local residents in five selected cities. The analysis, which is based on an interview survey, reveals that there is broad support for local self-governance. Nonetheless, public perceptions of the efficiency and autonomy of local government are largely negative in nature. Popular involvement in local politics and voluntary associations is low, and a sense of citizen empowerment is lacking. Overall, the quality of local government and democratic citizenship in Korea is found to remain far short of democratic ideals. These findings, of the undergrowth of civic culture and social capital, indicate that grassroots democracy in Korea is still at the electoral stage, and not yet fully consolidated. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2003-03109-007&site=ehost-live&scope=site
Race and beauty: A comparison of Asian and Western models in women's magazine advertisements.,"Frith, Katherine Toland; Cheng, Hong; Shaw, Ping",Sex Roles: A Journal of Research,03600025,,20040101,50,2-Jan,53,9,2004-10200-005,10.1023/B:SERS.0000011072.84489.e2,Springer,Journal Article,Advertising; Cross Cultural Differences; Magazines; Marketing; Racial and Ethnic Differences; Aesthetics; Asians; Human Females; Adulthood (18 yrs & older); Female,,"Over the past 30 years, the literature on how women are depicted in advertising has been strongly influenced by studies conducted in the U.S. and Europe and may not fully describe the ways in which women are depicted in advertising across cultures. In this study we analyzed advertisements collected from women's fashion and beauty magazines in Singapore, Taiwan, and the United States to compare the ways in which Western and Asian models were portrayed in print advertisements. We found that although demure dress was used most often for both races, Western models were shown more frequently than Asian models in seductive dress. Western models were also posed more often than Asian models as the Seductive beauty type. Product categories also differed. Asian models were used more frequently in advertisements for hair and skin beauty products, whereas Western models dominated the clothing category. The findings suggest that Western models are used more than Asian models in advertisements which are 'body' oriented, and that Western models are used in advertisements in Asia when the underlying marketing strategy is that 'sex sells.' (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-10200-005&site=ehost-live&scope=site
Race as a moderator of the relationship between religiosity and political alignment.,"Cohen, Adam B.; Malka, Ariel; Hill, Eric D.; Thoemmes, Felix; Hill, Peter C.; Sundie, Jill M.",Personality and Social Psychology Bulletin,01461672,,20090301,35,3,271,12,2009-03380-001,10.1177/0146167208328064,Sage Publications,Journal Article,Political Attitudes; Racial and Ethnic Differences; Religion; Religiosity; Religious Fundamentalism; Asians; Blacks; Whites; Latinos/Latinas; Adulthood (18 yrs & older); Male; Female,,"Religiosity, especially religious fundamentalism, is often assumed to have an inherent connection with conservative politics. This article proposes that the relationship varies by race in the United States. In Study 1, race moderated the relationships between religiosity indicators and political alignment in a nationally representative sample. In Study 2, the effect replicated in a student sample with more reliable measures. Among both Black and Latino Americans, the relationship between religiosity and conservative politics is far weaker than it is among White Americans, and it is sometimes altogether absent. In Study 3, a tradition-focused view of religion was found to more strongly mediate the link between religiosity and political attitudes among Whites than it did among Blacks and Latinos. It is argued that the relationship between religiosity and political alignment is best understood as a product of cultural–historical conditions associated with group memberships. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-03380-001&site=ehost-live&scope=site
"Race signaling features: Identifying markers of racial prototypicality among Asians, Blacks, Latinos, and Whites.","Ma, Debbie S.; Koltai, Kolina; McManus, Ryan M.; Bernhardt, Adrian; Correll, Joshua; Wittenbrink, Bernd",Social Cognition,0278016X,,20181201,36,6,603,23,2019-04063-001,10.1521/soco.2018.36.6.603,Guilford Publications,Journal Article,Face Perception; Facial Features; Racial and Ethnic Differences; Asians; Blacks; Whites; Latinos/Latinas; Adulthood (18 yrs & older); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female,,"Racial prototypicality informs categorization and profoundly influences stereotyping and evaluative judgments. Although previous research has examined the physical facial features that correspond with racial prototypicality in Blacks and Whites, little research has investigated the features that predict prototypicality among Asians and Latinos. Using a large database of facial stimuli that included Asian, Black, Latino, and White faces, we modeled physical measures of the faces to identify features that influence subjective judgments of prototypicality for each of these groups with three different exploratory strategies. Our research provides a critical extension of previous research by including Asians and Latinos and seeks to test the replicability of the existing research on this topic for Blacks and Whites. (PsycINFO Database Record (c) 2020 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-04063-001&site=ehost-live&scope=site
Race versus ethnicity.,"Blumenthal, Daniel S.",Academic Medicine,10402446,,19991201,74,12,1259,1,1999-15806-001,10.1097/00001888-199912000-00001,Lippincott Williams & Wilkins,Comment/Reply,Epidemiology; Human Females; Physicians; Racial and Ethnic Differences; Sexual Harassment; Asians; Blacks; Whites; Latinos/Latinas; Adulthood (18 yrs & older); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Female,,"Comments on the article by G. Corbie-Smith et al (see record [rid]1999-05840-003[/rid]) that examined the prevalence and correlates of ethnic harassment among female physicians in the US. Blumenthal notes that Corbie-Smith et al chose to use the construct of ethnicity (i.e., shared 'history, culture, language, values, or religion') rather than race (i.e., 'genetic and biologic similarities') because harassment is 'largely a social rather than a biologic phenomenon.' However, Blumenthal contends that the authors did not analyze their data according to ethnicity, using fairly traditional groupings (i.e., white, black, Hispanic, Asian, and other) that are conglomerates of diverse ethnicities rather than ethnic groups. While the harassment experienced by some of the Ss was a social rather than a biologic phenomenon, in most cases the harassment was probably based on the individual's physical appearance (i.e., race) rather than her ethnicity. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1999-15806-001&site=ehost-live&scope=site
"Race, ethnicity, and eating disorders: Considerations for DSM-V.","Franko, Debra L.",International Journal of Eating Disorders,02763478,,20071101,40,Supl,S31,4,2007-15799-009,10.1002/eat.20455,John Wiley & Sons,Comment/Reply,Diagnostic and Statistical Manual; Eating Disorders; Epidemiology; Racial and Ethnic Differences; Asians; Blacks; Latinos/Latinas,,"Comments on articles by Taylor et al. (see record [rid]2007-15799-005[/rid]), Alegria et al. (see record [rid]2007-15799-006[/rid]) and Nicdao et al (see record [rid]2007-15799-007[/rid]). The findings of these studies raise a number of additional questions: (a) which environmental factors make the development of eating disorders more or less likely in ethnic minority women? More importantly, what are the processes by which these risk and protective factors operate in diverse groups?; (b) does the number of diagnosed cases of eating disorders increase when diagnostic criteria are made culturally sensitive (c) if providers are educated about the occurrence and presentation of eating disorders in diverse groups, are they more likely to ask about symptoms, and if so, does this improve detection and treatment rates?; and (d) what are the potential clinical implications of adding ethnic and culture-specific information to the diagnostic criteria for eating disorders? Answers to these questions will further our understanding of classification issues. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-15799-009&site=ehost-live&scope=site
"Race, interests, and beliefs about affirmative action: Unanswered questions and new directions.","Bobo, Lawrence",American Behavioral Scientist,00027642,,19980401,41,7,985,19,1998-04601-002,10.1177/0002764298041007009,Sage Publications,Journal Article,Adult Attitudes; Affirmative Action; Racial and Ethnic Attitudes; Racial and Ethnic Differences; Asians; Blacks; Public Opinion; Whites; Latinos/Latinas; Adulthood (18 yrs & older); Male; Female,,"Studies of public opinion on affirmative action have focused heavily on the views of White Americans. Two contending schools of thought tend to concur that Whites generally oppose affirmative action, but sharply disagree over whether the hostility to affirmative action rests on cherished American values of individualism or on anti-Black racism. This article questions both perspectives and the assumptions about public opinion that they share using an analysis of the beliefs of 625 Whites, 483 Blacks, 477 Latinos and 284 Asians about the effects of affirmative action. The results point to real but far from irreconcilable race-based differences in opinion, a clear dependence of Whites' views on perceived threats from Blacks, and no influence of individualism on Whites' beliefs about the effects of affirmative action. The research suggests ways of moving beyond the political stalemate of opposing claims to moral virtue in the debate over affirmative action. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1998-04601-002&site=ehost-live&scope=site
"Race, within-family social capital, and school dropout: An analysis of Whites, Blacks, Hispanics, and Asians.","Dunham, Roger; Wilson, George",Sociological Spectrum,02732173,,20070301,27,2,207,15,2007-02425-005,10.1080/02732170601123435,Taylor & Francis,Journal Article,Adolescent Development; Racial and Ethnic Differences; School Dropouts; Social Capital; Social Class; Asians; Blacks; Whites; Latinos/Latinas; Adolescence (13-17 yrs); Male; Female,,"This study uses data from the National Educational Longitudinal Survey to assess whether the dynamics of social capital, namely, their sources in class background and consequences for dropout operate uniformly among Whites, African Americans, Hispanics, and Asian adolescents. Findings indicate that varying levels of social capital across groups are explained largely by their respective standing in the class structure. However, the effects of social capital on dropout vary across ethnic groups. Specifically, Whites and Asians get greater 'returns' to social capital than African Americans and Hispanics in terms of reducing the likelihood of dropping out. The contribution of the findings regarding differential returns toward uncovering the sources of the intergenerational transmission of racial stratification is discussed. In addition, 'supply' (e.g., oppositional culture) and 'demand' (neighborhood effects, school-based evaluation practices) side factors that may explain the differential returns are identified. Suggestions for future research to improve our understanding of the sources of social capital and its consequences for dropout are offered. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-02425-005&site=ehost-live&scope=site
Race/Ethnic Differences in Nonspecific Psychological Distress: Evidence from the National Health Interview Survey.,"Bratter, Jenifer L.; Eschbach, Karl",Social Science Quarterly,00384941,,20050901,86,3,620,25,2005-08857-005,10.1111/j.0038-4941.2005.00321.x,Blackwell Publishing,Journal Article,Distress; Mental Health; Racial and Ethnic Differences; Whites; Latinos/Latinas; Acculturation; Asians; Blacks; Chronic Illness; Health; Marital Status; Mexican Americans; Social Class; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female,,"Objective: This article documents the patterns of white-nonwhite differences in nonspecific psychological distress and explores how acculturation characteristics, social class, marital status, and chronic illness mediate or moderate these differences for eight racial/ethnic populations in the United States. Methods: We analyze data from a five-year pool of the National Health Interview Survey (NHIS) collected between 1997 and 2001 (N = 162,032) and employ multivariate regression techniques to explore level of psychological distress of various ethnic groups relative to non-Hispanic whites. Results: Nonwhite populations exhibit variable base-line differences in psychological distress compared to non-Hispanic whites; however, adjusted estimates show that African Americans and Mexicans have lower levels of distress while distress scores for 'other Hispanics,' Asians, and Cubans exhibit statistically similar levels. The highest distress occurs for Puerto Ricans. Interaction models reveal chronic sources of stress (e.g., poverty, chronic illness, nonmarriage) are even more taxing on psychological health of high-risk groups or have weaker relationships to stress for other groups. Conclusions: This study reveals the need for capturing ethnic variation in studies of mental health. Social class, acculturation, marital status, and chronic illness cannot fully explain white-nonwhite differences in psychological distress. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-08857-005&site=ehost-live&scope=site
Racial and cultural factors affecting the mental health of Asian Americans.,"Miller, Matthew J.; Yang, Minji; Farrell, Jerome A.; Lin, Li‐Ling",American Journal of Orthopsychiatry,00029432,,20111001,81,4,489,9,2011-23263-009,10.1111/j.1939-0025.2011.01118.x,Wiley-Blackwell Publishing Ltd.,Journal Article,Acculturation; Racism; Self-Efficacy; Sociocultural Factors; Multiculturalism; Asians; Mental Health; Adulthood (18 yrs & older); Male; Female,,"In this study, we employed structural equation modeling to test the degree to which racism-related stress, acculturative stress, and bicultural self-efficacy were predictive of mental health in a predominantly community-based sample of 367 Asian American adults. We also tested whether bicultural self-efficacy moderated the relationship between acculturative stress and mental health. Finally, we examined whether generational status moderated the impact of racial and cultural predictors of mental health by testing our model across immigrant and U.S.-born samples. Results indicated that our hypothesized structural model represented a good fit to the total sample data. While racism-related stress, acculturative stress, and bicultural self-efficacy were significant predictors of mental health in the total sample analyses, our generational analyses revealed a differential predictive pattern across generational status. Finally, we found that the buffering effect of bicultural self-efficacy on the relationship between acculturative stress and mental health was significant for U.S.-born individuals only. Implications for research and service delivery are explored. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-23263-009&site=ehost-live&scope=site
Racial and ethnic differences in extended family households.,"Kamo, Yoshinori",Sociological Perspectives,07311214,,20000601,43,2,211,19,2000-05525-001,10.2307/1389794,University of California Press,Journal Article,Extended Family; Living Arrangements; Racial and Ethnic Differences; Sociocultural Factors; Asians; Blacks; Whites; Latinos/Latinas,,"Examines the prevalence of extended family households and factors associated with them for non-Hispanic whites, African Americans, Asians, and Hispanics using data from the 1990 U.S. Census. Nuclear family households and three distinct types of extended family households (upward, downward, and horizontal) are identified, and racial/ethnic differences in the distribution of these types are noted. It is argued that household extensions occur as a result of a combination of economic, demographic, and cultural factors. To examine economic aspects of household extension, income distributions across various household types are examined. Then, using multinomial logistic regression, economic, demographic, and cultural factors related to the three different types of extended family households are identified. Even after racial/ethnic differences in demographic and economic variables are accounted for, preferences for downward extension among African Americans, upward extension among Asians, and horizontal extension among Hispanics still remain, suggesting an independent effect of racial/ethnic culture regarding household extension. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2000-05525-001&site=ehost-live&scope=site
Racial differences in the prevalence of antenatal depression.,"Gavin, Amelia R.; Melville, Jennifer L.; Rue, Tessa; Guo, Yuqing; Dina, Karen Tabb; Katon, Wayne J.",General Hospital Psychiatry,01638343,,20110301,33,2,87,7,2011-10844-001,10.1016/j.genhosppsych.2010.11.012,Elsevier Science,Journal Article,Major Depression; Pregnancy; Racial and Ethnic Differences; Asians; Blacks; Epidemiology; Pacific Islanders; Whites; Latinos/Latinas; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Female,,"Objective: This study examined whether there were racial/ethnic differences in the prevalence of antenatal depression based on Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition, diagnostic criteria in a community-based sample of pregnant women. Method: Data were drawn from an ongoing registry of pregnant women receiving prenatal care at a university obstetric clinic from January 2004 through March 2010 (N =1997). Logistic regression models adjusting for sociodemographic, psychiatric, behavioral and clinical characteristics were used to examine racial/ethnic differences in antenatal depression as measured by the Patient Health Questionnaire. Results: Overall, 5.1% of the sample reported antenatal depression. Blacks and Asian/Pacific Islanders were at increased risk for antenatal depression compared to non-Hispanic White women. This increased risk of antenatal depression among Blacks and Asian/Pacific Islanders remained after adjustment for a variety of risk factors. Conclusion: Results suggest the importance of race/ethnicity as a risk factor for antenatal depression. Prevention and treatment strategies geared toward the mental health needs of Black and Asian/Pacific Islander women are needed to reduce the racial/ethnic disparities in antenatal depression. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-10844-001&site=ehost-live&scope=site
Racial identity and intergroup attitudes: A multiracial youth analysis.,"Sullivan, Jas M.; Ghara, Alexandra",Social Science Quarterly,00384941,,20150301,96,1,261,12,2015-08871-020,10.1111/ssqu.12089,Wiley-Blackwell Publishing Ltd.,Journal Article,Attitudes; Ethnic Identity; Intergroup Dynamics; Racial and Ethnic Differences; Arabs; Asians; Blacks; Whites; Latinos/Latinas; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female,,"Objective: This article examines the racial identity attitudes of white, black, and Hispanic youth and explores how these identities shape their feelings toward various racial and ethnic groups (whites, blacks, Asians, Hispanics, Arabs, and biracial individuals). Methods: Using the 2005 Youth Culture Survey data set, we test our theoretical expectations using descriptive statistics and multiple regression models. Results: The relationship between racial identification and out‐group attitudes varies among racial groups; specifically, racial identity variables do not have a significant impact on whites’ out‐group attitudes, but they do matter for blacks and Hispanics. Conclusion: While American society has changed in many ways (i.e., increased number of minorities and more tolerance, or at least more discussion of acceptance, for racial groups), our research finds that race still plays a consequential role in the lives of young racial minorities. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-08871-020&site=ehost-live&scope=site
Racial identity and reflected appraisals as influences on Asian Americans' racial adjustment.,"Alvarez, Alvin N.; Helms, Janet E.",Cultural Diversity and Ethnic Minority Psychology,10999809,1557988730,20010801,7,3,217,15,2001-07566-003,10.1037/1099-9809.7.3.217,Educational Publishing Foundation,Journal Article,Adjustment; Ethnic Identity; Self-Esteem; Asians; Adulthood (18 yrs & older); Male; Female,,"J. E. Helms's (1990) racial identity psychodiagnostic model was used to examine the contribution of racial identity schemas and reflected appraisals to the development of healthy racial adjustment of Asian American university students (N = 188). Racial adjustment was operationally defined as collective self-esteem and awareness of anti-Asian racism. Multiple regression analyses suggested that racial identity schemas and reflected appraisals were significantly predictive of Asian Americans' racial adjustment. Implications for counseling and future research are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-07566-003&site=ehost-live&scope=site
